Age	Own.Home.	Num.Children	Income	Sex	Total.Wealth	Other.Gifts	Number.of.Gifts	Smallest.Gift	Largest.Gift	Previous.Gift	Time.Between.Gifts	Average.Gift	Current.Gift	Sqrt.Smallest.Gift	Sqrt.Largest.Gift	Sqrt.Previous.Gift	Sqrt.Average.Gift	Sqrt.Current.Gift
64	H	0	1	F	2	0	14	3	300	300	3	98.79	200	1.73205080756888	17.3205080756888	17.3205080756888	9.93931587182941	14.142135623731
91	U	0	1	M	1	1	8	25	50	50	13	40.88	200	5	7.07106781186548	7.07106781186548	6.39374694525831	14.142135623731
82	H	0	5	M	9	42	25	2	250	250	6	12.76	200	1.4142135623731	15.8113883008419	15.8113883008419	3.57211421989835	14.142135623731
61	H	0	1	F	7	0	3	20	25	25	5	23.33	200	4.47213595499958	5	5	4.83011387029333	14.142135623731
71	U	0	5	M	9	2	1	25	25	25	5	25	150	5	5	5	5	12.2474487139159
90	U	0	1	F	9	0	28	5	133	133	5	63.04	102	2.23606797749979	11.5325625946708	11.5325625946708	7.93977329651168	10.0995049383621
57	H	0	1	F	4	0	7	25	100	100	3	53.86	101	5	10	10	7.33893725276351	10.0498756211209
38	U	0	7	F	6	0	1	50	50	50	9	50	100	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	10
43	H	0	6	M	9	7	1	200	200	200	10	200	100	14.142135623731	14.142135623731	14.142135623731	14.142135623731	10
79	U	0	1	M	0	0	5	10	50	30	13	28	100	3.16227766016838	7.07106781186548	5.47722557505166	5.29150262212918	10
81	H	0	6	F	8	0	8	5	100	50	10	30.75	100	2.23606797749979	10	7.07106781186548	5.54526825320471	10
50	H	0	1	M	8	0	4	10	100	100	7	57.5	100	3.16227766016838	10	10	7.58287544405155	10
73	H	0	4	M	8	7	15	2	100	100	12	25.8	100	1.4142135623731	10	10	5.07937003968012	10
48	U	0	2	F	9	0	11	20	100	100	18	47.18	100	4.47213595499958	10	10	6.86876990442976	10
83	U	0	5	F	2	0	2	10	16	16	24	13	100	3.16227766016838	4	4	3.60555127546399	10
90	U	0	1	F	3	0	26	5	75	75	3	27.42	100	2.23606797749979	8.66025403784439	8.66025403784439	5.23641098463442	10
42	U	0	3	M	3	0	9	20	32	26	8	26.44	100	4.47213595499958	5.65685424949238	5.09901951359278	5.14198405287298	10
61	U	0	1	M	3	0	12	3	100	100	21	41.83	100	1.73205080756888	10	10	6.46761161480805	10
69	H	0	7	M	2	0	6	5	30	30	7	17.67	100	2.23606797749979	5.47722557505166	5.47722557505166	4.20356991139674	10
61	U	0	1	M	7	0	1	50	50	50	7	50	100	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	10
48	H	0	6	M	9	37	18	25	200	110	6	89.44	100	5	14.142135623731	10.4880884817015	9.45727233402951	10
62	H	0	1	M	5	0	2	25	30	30	6	27.5	100	5	5.47722557505166	5.47722557505166	5.24404424085076	10
82	U	0	2	F	5	61	14	15	200	100	14	85	100	3.87298334620742	14.142135623731	10	9.21954445729289	10
66	H	0	5	M	6	6	3	43	50	46	10	46.33	100	6.557438524302	7.07106781186548	6.78232998312527	6.80661443009665	10
74	H	0	2	M	3	13	10	5	100	100	10	36.8	100	2.23606797749979	10	10	6.06630035524124	10
62	H	0	5	M	9	14	22	3	25	24	3	13.27	100	1.73205080756888	5	4.89897948556636	3.6428011200174	10
56	H	0	7	F	9	2	4	25	100	100	0	62.5	100	5	10	10	7.90569415042095	10
54	H	0	4	F	2	4	1	25	25	25	11	25	100	5	5	5	5	10
71	U	0	5	M	4	0	15	4	10	10	13	7.73	100	2	3.16227766016838	3.16227766016838	2.78028775489157	10
68	U	0	5	M	0	0	1	50	50	50	2	50	75	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	8.66025403784439
49	U	0	1	M	0	0	12	5	70	70	7	40.08	75	2.23606797749979	8.36660026534076	8.36660026534076	6.33087671653777	8.66025403784439
82	U	0	6	F	8	0	5	5	50	50	10	33	75	2.23606797749979	7.07106781186548	7.07106781186548	5.74456264653803	8.66025403784439
66	H	0	5	M	8	10	5	0	100	50	1	68.8	75	0	10	7.07106781186548	8.29457654133109	8.66025403784439
68	H	0	6	F	9	7	7	25	200	100	3	103.57	75	5	14.142135623731	10	10.1769347054995	8.66025403784439
74	H	0	7	M	6	0	7	5	50	50	7	25	75	2.23606797749979	7.07106781186548	7.07106781186548	5	8.66025403784439
